retained,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,first_last_days_diff,created_first_days_diff,favday_Friday,favday_Monday,favday_Saturday,favday_Sunday,favday_Thursday,favday_Tuesday,favday_Wednesday,city_BLR,city_BOM,city_DEL,city_MAA,FS_ID,FS_time
0,29,100.0,3.448275862,14.52,0.0,0,0,0,0,-317,0,1,0,0,0,0,0,0,0,1,0,1000,1.662656837E9
1,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,1024,-103,1,0,0,0,0,0,0,0,0,1,0,1001,1.662656837E9
0,0,0.0,0.0,33.58,0.059907834,0,0,0,217,-59,0,0,0,0,0,0,1,0,0,1,0,1002,1.662656837E9
0,0,0.0,0.0,54.96,0.0,0,0,0,0,-157,0,0,0,0,1,0,0,0,1,0,0,1003,1.662656837E9
1,30,90.0,13.33333333,111.91,0.008849558,0,0,0,791,-2,0,1,0,0,0,0,0,0,1,0,0,1004,1.662656837E9
1,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,1190,-694,0,0,0,0,0,0,1,0,0,1,0,1005,1.662656837E9
1,60,43.33333333,6.666666667,116.55,0.125,0,1,0,976,-112,1,0,0,0,0,0,0,0,1,0,0,1006,1.662656837E9
1,64,28.125,15.625,68.1,0.04009434,1,1,0,848,-656,1,0,0,0,0,0,0,0,0,1,0,1007,1.662656837E9
1,45,0.0,0.0,46.6,0.0,0,0,0,0,-52,0,0,0,0,0,0,1,0,0,1,0,1008,1.662656837E9
1,34,94.11764706,8.823529412,66.07,0.133789063,1,0,0,1024,-53,0,1,0,0,0,0,0,0,0,1,0,1009,1.662656837E9
1,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,1154,-57,1,0,0,0,0,0,0,0,0,1,0,1010,1.662656837E9
1,40,87.5,45.0,88.3,0.088477366,0,0,0,972,-539,0,0,0,0,0,0,1,0,0,1,0,1011,1.662656837E9
1,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,1161,-478,0,1,0,0,0,0,0,0,0,1,0,1012,1.662656837E9
1,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,950,-352,0,0,0,0,0,1,0,0,0,1,0,1013,1.662656837E9
0,16,12.5,0.0,59.25,0.129353234,1,1,0,1005,-3,0,0,0,0,0,1,0,0,0,1,0,1014,1.662656837E9
1,45,60.0,15.55555556,49.73,0.044247788,1,1,0,1017,-19,0,0,0,0,0,0,1,0,1,0,0,1015,1.662656837E9
0,13,61.53846154,15.38461538,156.54,0.119113573,1,0,0,1083,-115,0,1,0,0,0,0,0,0,0,1,0,1016,1.662656837E9
